"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 17:30:17 GMT 2023","Thu Apr 27 17:30:19 GMT 2023","2126","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_3_CrUD_user","Creating a user"
"broken","Thu Apr 27 17:30:27 GMT 2023","Thu Apr 27 17:30:28 GMT 2023","323","tests","test_get_characters","TestCharacters","","","test_character_limit_offset",""
"passed","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite","","","test_2",""
"broken","Thu Apr 27 17:30:30 GMT 2023","Thu Apr 27 17:30:30 GMT 2023","320","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_id",""
"failed","Thu Apr 27 17:29:57 GMT 2023","Thu Apr 27 17:29:57 GMT 2023","456","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_5_delete_user",""
"broken","Thu Apr 27 17:30:25 GMT 2023","Thu Apr 27 17:30:25 GMT 2023","391","tests","test_get_characters","TestCharacters","","","test_character_by_category_limit",""
"broken","Thu Apr 27 17:30:28 GMT 2023","Thu Apr 27 17:30:29 GMT 2023","320","tests","test_get_characters","TestCharacters","","","test_single_character_not_existing",""
"passed","Thu Apr 27 17:30:14 GMT 2023","Thu Apr 27 17:30:17 GMT 2023","2967","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_2_check_list_resource_pages","Getting the default list of resources. Determining the number of ID resources."
"passed","Thu Apr 27 17:30:19 GMT 2023","Thu Apr 27 17:30:20 GMT 2023","832","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_4_registration","Registration successful"
"passed","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:14 GMT 2023","5652","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_1_check_list_users_pages","Getting the default list of users. Determining the number of pages and users."
"passed","Thu Apr 27 17:30:34 GMT 2023","Thu Apr 27 17:30:34 GMT 2023","304","tests","test_restful_booker_api","TestRestfulBooker","","","test_5_update_booking",""
"passed","Thu Apr 27 17:30:21 GMT 2023","Thu Apr 27 17:30:24 GMT 2023","3402","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_6_check_delayed_response","Checking delayed page calls"
"broken","Thu Apr 27 17:30:31 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","323","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote",""
"broken","Thu Apr 27 17:30:28 GMT 2023","Thu Apr 27 17:30:28 GMT 2023","328","tests","test_get_characters","TestCharacters","","","test_single_character",""
"broken","Thu Apr 27 17:30:26 GMT 2023","Thu Apr 27 17:30:26 GMT 2023","326","tests","test_get_characters","TestCharacters","","","test_character_by_part_name",""
"broken","Thu Apr 27 17:30:29 GMT 2023","Thu Apr 27 17:30:30 GMT 2023","321","tests","test_get_episodes","TestEpisodes","","","test_get_all_episodes",""
"broken","Thu Apr 27 17:30:28 GMT 2023","Thu Apr 27 17:30:28 GMT 2023","326","tests","test_get_characters","TestCharacters","","","test_single_character_invalid_id",""
"broken","Thu Apr 27 17:30:30 GMT 2023","Thu Apr 27 17:30:31 GMT 2023","327","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes",""
"passed","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite2","","","test_11",""
"skipped","Thu Apr 27 17:29:57 GMT 2023","Thu Apr 27 17:29:57 GMT 2023","0","tests","test_book_store_account","TestBookStore","","","test_3_login","user login"
"broken","Thu Apr 27 17:29:55 GMT 2023","Thu Apr 27 17:29:55 GMT 2023","597","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_1_create_new_user",""
"broken","Thu Apr 27 17:30:24 GMT 2023","Thu Apr 27 17:30:25 GMT 2023","324","tests","test_get_characters","TestCharacters","","","test_all_characters",""
"broken","Thu Apr 27 17:29:53 GMT 2023","Thu Apr 27 17:29:53 GMT 2023","407","tests","test_9kovlev_get_episodes","TestCharacters","","","test_episoode_by_series",""
"broken","Thu Apr 27 17:29:54 GMT 2023","Thu Apr 27 17:29:54 GMT 2023","325","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode_by_title",""
"skipped","Thu Apr 27 17:29:57 GMT 2023","Thu Apr 27 17:29:57 GMT 2023","0","tests","test_book_store_account","TestBookStore","","","test_2_generate_token","Generate token"
"skipped","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite2","","","test_15",""
"passed","Thu Apr 27 17:30:04 GMT 2023","Thu Apr 27 17:30:06 GMT 2023","2714","tests","test_book_store_account_version2","TestBookStore","","","test_user_get","get new user info"
"passed","Thu Apr 27 17:29:56 GMT 2023","Thu Apr 27 17:29:56 GMT 2023","517","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_3_login_existing_user",""
"broken","Thu Apr 27 17:30:25 GMT 2023","Thu Apr 27 17:30:26 GMT 2023","323","tests","test_get_characters","TestCharacters","","","test_character_by_invalid_name",""
"passed","Thu Apr 27 17:29:58 GMT 2023","Thu Apr 27 17:30:00 GMT 2023","2214","tests","test_book_store_account_version2","TestBookStore","","","test_delete","delete new user"
"passed","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite","","","test_3",""
"broken","Thu Apr 27 17:30:29 GMT 2023","Thu Apr 27 17:30:29 GMT 2023","323","tests","test_get_episodes","TestEpisodes","","","test_episodes_by_part_name_of_series",""
"skipped","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite2","","","test_14",""
"skipped","Thu Apr 27 17:29:57 GMT 2023","Thu Apr 27 17:29:57 GMT 2023","0","tests","test_book_store_account","TestBookStore","","","test_5_user_delete","delete user"
"passed","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:33 GMT 2023","310","tests","test_restful_booker_api","TestRestfulBooker","","","test_1_create_auth_token","Generate token"
"passed","Thu Apr 27 17:30:33 GMT 2023","Thu Apr 27 17:30:33 GMT 2023","427","tests","test_restful_booker_api","TestRestfulBooker","","","test_2_get_booking_ids","Get all booking ids"
"passed","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite","","","test_5",""
"passed","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite2","","","test_12",""
"skipped","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite2","","","test_13",""
"passed","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","0","tests","test_dummy","TestSuite","","","test_1",""
"failed","Thu Apr 27 17:29:54 GMT 2023","Thu Apr 27 17:29:55 GMT 2023","324","tests","test_9kovlev_get_episodes","TestCharacters","","","test_test_first_episoode_invalid_id",""
"broken","Thu Apr 27 17:30:29 GMT 2023","Thu Apr 27 17:30:29 GMT 2023","327","tests","test_get_episodes","TestEpisodes","","","test_episode_title_in_data",""
"skipped","Thu Apr 27 17:29:57 GMT 2023","Thu Apr 27 17:29:57 GMT 2023","0","tests","test_book_store_account","TestBookStore","","","test_1_user_create","create new user"
"broken","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","327","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote_from_author",""
"broken","Thu Apr 27 17:30:27 GMT 2023","Thu Apr 27 17:30:27 GMT 2023","325","tests","test_get_characters","TestCharacters","","","test_character_invalid_limit",""
"broken","Thu Apr 27 17:29:54 GMT 2023","Thu Apr 27 17:29:54 GMT 2023","331","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode",""
"passed","Thu Apr 27 17:29:55 GMT 2023","Thu Apr 27 17:29:56 GMT 2023","634","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_2_get_token",""
"passed","Thu Apr 27 17:30:33 GMT 2023","Thu Apr 27 17:30:33 GMT 2023","311","tests","test_restful_booker_api","TestRestfulBooker","","","test_3_create_booking","Create booking"
"passed","Thu Apr 27 17:30:06 GMT 2023","Thu Apr 27 17:30:07 GMT 2023","1043","tests","test_book_store_account_version2","TestBookStore","","","test_z_authorized","Authorized user"
"passed","Thu Apr 27 17:30:00 GMT 2023","Thu Apr 27 17:30:01 GMT 2023","1166","tests","test_book_store_account_version2","TestBookStore","","","test_generate_token","Generate token"
"passed","Thu Apr 27 17:30:33 GMT 2023","Thu Apr 27 17:30:34 GMT 2023","320","tests","test_restful_booker_api","TestRestfulBooker","","","test_4_get_booking_filter_by_id","Get booking filter by id"
"broken","Thu Apr 27 17:30:26 GMT 2023","Thu Apr 27 17:30:26 GMT 2023","322","tests","test_get_characters","TestCharacters","","","test_character_by_name",""
"broken","Thu Apr 27 17:30:26 GMT 2023","Thu Apr 27 17:30:27 GMT 2023","325","tests","test_get_characters","TestCharacters","","","test_character_by_random",""
"broken","Thu Apr 27 17:30:25 GMT 2023","Thu Apr 27 17:30:25 GMT 2023","329","tests","test_get_characters","TestCharacters","","","test_character_by_category",""
"passed","Thu Apr 27 17:30:01 GMT 2023","Thu Apr 27 17:30:04 GMT 2023","2350","tests","test_book_store_account_version2","TestBookStore","","","test_user_create","create new user"
"broken","Thu Apr 27 17:30:31 GMT 2023","Thu Apr 27 17:30:31 GMT 2023","326","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes_by_author",""
"passed","Thu Apr 27 17:30:08 GMT 2023","Thu Apr 27 17:30:08 GMT 2023","1","tests","test_dummy","TestSuite","","","test_4",""
"passed","Thu Apr 27 17:30:20 GMT 2023","Thu Apr 27 17:30:21 GMT 2023","849","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_5_login","Registration successful"
"broken","Thu Apr 27 17:30:31 GMT 2023","Thu Apr 27 17:30:31 GMT 2023","329","tests","test_get_quotes","TestGetQuotes","","","test_get_quote_by_id",""
"passed","Thu Apr 27 17:30:34 GMT 2023","Thu Apr 27 17:30:34 GMT 2023","315","tests","test_restful_booker_api","TestRestfulBooker","","","test_6_partial_update",""
"passed","Thu Apr 27 17:29:56 GMT 2023","Thu Apr 27 17:29:57 GMT 2023","520","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_4_account_authorized",""
"skipped","Thu Apr 27 17:29:57 GMT 2023","Thu Apr 27 17:29:57 GMT 2023","0","tests","test_book_store_account","TestBookStore","","","test_4_account_authorized","checking user logged in or not"
"broken","Thu Apr 27 17:30:30 GMT 2023","Thu Apr 27 17:30:30 GMT 2023","321","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_series",""
"passed","Thu Apr 27 17:30:34 GMT 2023","Thu Apr 27 17:30:35 GMT 2023","305","tests","test_restful_booker_api","TestRestfulBooker","","","test_7_delete_booking",""
