"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","0","tests","test_dummy","TestSuite","","","test_1",""
"skipped","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","0","tests","test_dummy","TestSuite2","","","test_14",""
"passed","Thu Apr 27 17:30:19 GMT 2023","Thu Apr 27 17:30:19 GMT 2023","594","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_4_account_authorized",""
"broken","Thu Apr 27 17:30:54 GMT 2023","Thu Apr 27 17:30:54 GMT 2023","296","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes_by_author",""
"broken","Thu Apr 27 17:30:49 GMT 2023","Thu Apr 27 17:30:49 GMT 2023","413","tests","test_get_characters","TestCharacters","","","test_character_by_part_name",""
"passed","Thu Apr 27 17:30:55 GMT 2023","Thu Apr 27 17:30:55 GMT 2023","380","tests","test_restful_booker_api","TestRestfulBooker","","","test_1_create_auth_token","Generate token"
"passed","Thu Apr 27 17:30:57 GMT 2023","Thu Apr 27 17:30:58 GMT 2023","388","tests","test_restful_booker_api","TestRestfulBooker","","","test_6_partial_update",""
"broken","Thu Apr 27 17:30:47 GMT 2023","Thu Apr 27 17:30:48 GMT 2023","300","tests","test_get_characters","TestCharacters","","","test_all_characters",""
"passed","Thu Apr 27 17:30:56 GMT 2023","Thu Apr 27 17:30:57 GMT 2023","370","tests","test_restful_booker_api","TestRestfulBooker","","","test_4_get_booking_filter_by_id","Get booking filter by id"
"passed","Thu Apr 27 17:30:30 GMT 2023","Thu Apr 27 17:30:31 GMT 2023","1195","tests","test_book_store_account_version2","TestBookStore","","","test_z_authorized","Authorized user"
"passed","Thu Apr 27 17:30:56 GMT 2023","Thu Apr 27 17:30:56 GMT 2023","422","tests","test_restful_booker_api","TestRestfulBooker","","","test_3_create_booking","Create booking"
"passed","Thu Apr 27 17:30:42 GMT 2023","Thu Apr 27 17:30:43 GMT 2023","806","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_4_registration","Registration successful"
"broken","Thu Apr 27 17:30:16 GMT 2023","Thu Apr 27 17:30:16 GMT 2023","305","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode_by_title",""
